Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?,year_received,month_received,dayofweek_received,quarter_received,is_weekend,is_holiday_season,processing_days,same_day_processing,company_complaint_count,company_size,state_complaint_count,product_category,region
1286755,Bank Account Or Service,Checking Account,"Account Opening, Closing, Or Management",Not Specified,IL,60628,2015-03-17,2015-03-18,Jpmorgan Chase,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,1272,enterprise,1003,banking,midwest
1286639,Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Terms,MI,48091,2015-03-17,2015-03-17,Transunion,Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,1525,enterprise,694,credit,midwest
1286559,Debt Collection,Credit Card,Cont'D Attempts Collect Debt Not Owed,Debt Was Discharged In Bankruptcy,FL,33990,2015-03-17,2015-03-17,"Expert Global Solutions, Inc.",In progress,Yes,No,2015,3,1,1,0,0,0,1,28,medium,2592,debt,south
1286777,Bank Account Or Service,Checking Account,"Account Opening, Closing, Or Management",Not Specified,FL,32713,2015-03-17,2015-03-18,Wells Fargo,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,1430,enterprise,2592,banking,south
1287586,Mortgage,Conventional Adjustable Mortgage (Arm),"Loan Servicing, Payments, Escrow Account",Not Specified,CA,95032,2015-03-17,2015-03-17,"Bayview Loan Servicing, Llc",In progress,Yes,No,2015,3,1,1,0,0,0,1,90,large,3859,mortgage,west
1287135,Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,CT,6611,2015-03-17,2015-03-17,"Ccs Financial Services, Inc.",Closed with explanation,Yes,Yes,2015,3,1,1,0,0,0,1,71,large,287,debt,northeast
1287567,Debt Collection,Medical,False Statements Or Representation,Attempted To Collect Wrong Amount,OR,97233,2015-03-17,2015-03-17,"Cmre Financial Services, Inc.",In progress,Yes,No,2015,3,1,1,0,0,0,1,28,medium,337,debt,west
1287501,Debt Collection,"Other (Phone, Health Club, Etc.)",Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,GA,30518,2015-03-17,2015-03-17,"Aldous & Associates, Pllc",Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,6,small,1146,debt,south
1288242,Mortgage,Conventional Fixed Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,CA,91205,2015-03-17,2015-03-18,"Bayview Loan Servicing, Llc",In progress,Yes,No,2015,3,1,1,0,0,1,0,90,large,3859,mortgage,west
1288281,Debt Collection,"Other (Phone, Health Club, Etc.)",False Statements Or Representation,Attempted To Collect Wrong Amount,VA,22180,2015-03-17,2015-03-18,"Debt Recovery Solutions, Llc",Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,19,medium,869,debt,south
1289846,Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Status,WA,98502,2015-03-17,2015-03-18,Transunion,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,1525,enterprise,509,credit,west
1289847,Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Status,WA,98502,2015-03-17,2015-03-18,Transunion,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,1525,enterprise,509,credit,west
1289788,Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,PA,19149,2015-03-17,2015-03-18,Ally Financial Inc.,In progress,Yes,No,2015,3,1,1,0,0,1,0,165,large,1055,loan,northeast
1288284,Debt Collection,Credit Card,Taking/Threatening An Illegal Action,Threatened To Sue On Too Old Debt,TN,38305,2015-03-17,2015-03-18,"Fenton & Mcgarvey Law Firm, P.S.C.",Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,4,small,473,debt,south
1286791,Money Transfers,Domestic (Us) Money Transfer,Other Transaction Issues,Not Specified,AL,35115,2015-03-17,2015-03-17,Moneygram,In progress,Yes,No,2015,3,1,1,0,0,0,1,73,large,358,other,south
1287677,Credit Reporting,Not Specified,Credit Reporting Company'S Investigation,Investigation Took Too Long,MI,48334,2015-03-17,2015-03-17,"Early Warning Services, Llc",Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,9,small,694,credit,midwest
1288263,Mortgage,Conventional Fixed Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,WI,53579,2015-03-17,2015-03-18,Bmo Harris,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,34,medium,351,mortgage,midwest
1287783,Credit Card,Not Specified,Delinquent Account,Not Specified,PA,19406,2015-03-17,2015-03-17,Amex,Closed with explanation,Yes,Yes,2015,3,1,1,0,0,0,1,270,enterprise,1055,credit,northeast
1287765,Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,IL,61554,2015-03-17,2015-03-17,Navy Fcu,In progress,Yes,No,2015,3,1,1,0,0,0,1,62,large,1003,loan,midwest
1288273,Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,MD,21704,2015-03-17,2015-03-18,"Credit Protection Association, L.P.",Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,50,medium,791,debt,south
1286793,Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,FL,33063,2015-03-17,2015-03-17,Stellar Recovery Inc.,Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,63,large,2592,debt,south
1288199,Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,IA,51526,2015-03-17,2015-03-17,Synergetic Communication Inc,Closed with explanation,Yes,Yes,2015,3,1,1,0,0,0,1,2,small,141,debt,midwest
1287753,Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,CA,94610,2015-03-17,2015-03-17,Niagara Portfolio Solutions Llc,Closed,Yes,No,2015,3,1,1,0,0,0,1,28,medium,3859,debt,west
1285893,Credit Card,Not Specified,Other,Not Specified,MI,48088,2015-03-17,2015-03-17,Amex,Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,270,enterprise,694,credit,midwest
1285956,Debt Collection,Not Specified,Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,FL,33462,2015-03-17,2015-03-17,Citibank,Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,1016,enterprise,2592,debt,south
1286966,Credit Card,Not Specified,Late Fee,Not Specified,GA,30075,2015-03-17,2015-03-17,Wells Fargo,Closed with monetary relief,Yes,No,2015,3,1,1,0,0,0,1,1430,enterprise,1146,credit,south
1287395,Consumer Loan,Vehicle Loan,Taking Out The Loan Or Lease,Not Specified,KY,42223,2015-03-17,2015-03-17,Navy Fcu,In progress,Yes,No,2015,3,1,1,0,0,0,1,62,large,225,loan,south
1287443,Credit Reporting,Not Specified,Incorrect Information On Credit Report,Personal Information,MI,48473,2015-03-17,2015-03-17,Transunion,Closed with non-monetary relief,Yes,No,2015,3,1,1,0,0,0,1,1525,enterprise,694,credit,midwest
1286928,Consumer Loan,Vehicle Loan,Taking Out The Loan Or Lease,Not Specified,NY,11415,2015-03-17,2015-03-17,Ally Financial Inc.,In progress,Yes,No,2015,3,1,1,0,0,0,1,165,large,1846,loan,northeast
1287315,Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,FL,34473,2015-03-17,2015-03-17,Transworld Systems Inc.,In progress,Yes,No,2015,3,1,1,0,0,0,1,215,enterprise,2592,debt,south
1287293,Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,WI,53105,2015-03-17,2015-03-17,Ally Financial Inc.,In progress,Yes,No,2015,3,1,1,0,0,0,1,165,large,351,loan,midwest
1287285,Bank Account Or Service,Checking Account,"Account Opening, Closing, Or Management",Not Specified,CA,90801,2015-03-17,2015-03-18,Jpmorgan Chase,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,1272,enterprise,3859,banking,west
1287601,Debt Collection,Not Specified,Communication Tactics,Called Outside Of 8Am-9Pm,LA,70774,2015-03-17,2015-03-17,"Receivable Recovery Services, Llc",In progress,Yes,No,2015,3,1,1,0,0,0,1,7,small,277,debt,south
1286199,Debt Collection,Not Specified,Improper Contact Or Sharing Of Info,Contacted Me After I Asked Not To,NC,27205,2015-03-17,2015-03-17,"Online Information Services, Inc.",Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,15,medium,764,debt,south
1286421,Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Was Discharged In Bankruptcy,IL,61032,2015-03-17,2015-03-17,Armor Systems Corporation,Closed,Yes,Yes,2015,3,1,1,0,0,0,1,4,small,1003,debt,midwest
1286515,Credit Reporting,Not Specified,Incorrect Information On Credit Report,Public Record,CO,80540,2015-03-17,2015-03-17,First Advantage Corporation,Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,8,small,483,credit,west
1286004,Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,OK,73072,2015-03-17,2015-03-17,"Franklin Collection Service, Inc.",Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,9,small,207,debt,south
1286368,Debt Collection,"Other (Phone, Health Club, Etc.)",Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,MA,2038,2015-03-17,2015-03-17,"Associated Credit Services, Inc.",In progress,Yes,No,2015,3,1,1,0,0,0,1,2,small,512,debt,northeast
1286384,Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,IL,62704,2015-03-17,2015-03-17,Miramed Revenue Group Llc,Closed,Yes,No,2015,3,1,1,0,0,0,1,2,small,1003,debt,midwest
1286200,Debt Collection,Medical,Improper Contact Or Sharing Of Info,Talked To A Third Party About My Debt,TN,37074,2015-03-17,2015-03-17,Transworld Systems Inc.,In progress,Yes,No,2015,3,1,1,0,0,0,1,215,enterprise,473,debt,south
1286314,Mortgage,Fha Mortgage,Credit Decision / Underwriting,Not Specified,NE,68135,2015-03-17,2015-03-17,Loandepot,Closed with explanation,Yes,Yes,2015,3,1,1,0,0,0,1,9,small,108,mortgage,midwest
1286211,Consumer Loan,Personal Line Of Credit,Managing The Line Of Credit,Not Specified,IA,50317,2015-03-17,2015-03-18,Wells Fargo,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,1430,enterprise,141,loan,midwest
1286231,Payday Loan,Not Specified,Can'T Stop Charges To Bank Account,Not Specified,KS,66606,2015-03-17,2015-03-17,Speedy Cash Holdings,Closed with explanation,Yes,Yes,2015,3,1,1,0,0,0,1,39,medium,176,loan,midwest
1286224,Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,MO,63040,2015-03-17,2015-03-17,Springleaf Finance Corporation,In progress,Yes,No,2015,3,1,1,0,0,0,1,43,medium,409,debt,midwest
1285422,Payday Loan,Not Specified,Charged Fees Or Interest I Didn'T Expect,Not Specified,TX,76205,2015-03-16,2015-03-16,Ace Cash Express Inc.,In progress,Yes,No,2015,3,0,1,0,0,0,1,53,large,2380,loan,south
1284912,Payday Loan,Not Specified,Can'T Contact Lender,Not Specified,OR,97070,2015-03-16,2015-03-16,"Cashcall, Inc.",Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,69,large,337,loan,west
1284746,Bank Account Or Service,(Cd) Certificate Of Deposit,"Account Opening, Closing, Or Management",Not Specified,NH,3753,2015-03-16,2015-03-18,Wells Fargo,Closed with explanation,Yes,No,2015,3,0,1,0,0,2,0,1430,enterprise,111,banking,northeast
1284068,Credit Reporting,Not Specified,Improper Use Of My Credit Report,Report Improperly Shared By Crc,OH,44121,2015-03-16,2015-03-16,Transunion,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1525,enterprise,939,credit,midwest
1287644,Mortgage,Conventional Adjustable Mortgage (Arm),"Loan Modification,Collection,Foreclosure",Not Specified,CO,80516,2015-03-16,2015-03-17,Bank Of America,In progress,Yes,No,2015,3,0,1,0,0,1,0,1518,enterprise,483,mortgage,west
1288174,Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,MD,21085,2015-03-16,2015-03-17,"Premium Asset Services, Llc",In progress,Yes,No,2015,3,0,1,0,0,1,0,41,medium,791,debt,south
1286165,Debt Collection,Medical,Communication Tactics,Threatened To Take Legal Action,WA,98311,2015-03-16,2015-03-17,"P.S.C., Inc",Closed with explanation,Yes,No,2015,3,0,1,0,0,1,0,3,small,509,debt,west
1286144,Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,CA,91355,2015-03-16,2015-03-17,"Acquired Assets, Ltd.",Closed with explanation,Yes,No,2015,3,0,1,0,0,1,0,2,small,3859,debt,west
1286143,Credit Reporting,Not Specified,Incorrect Information On Credit Report,Public Record,CA,90280,2015-03-16,2015-03-17,Transunion,Closed with explanation,Yes,No,2015,3,0,1,0,0,1,0,1525,enterprise,3859,credit,west
1286134,Debt Collection,Not Specified,Communication Tactics,Threatened To Take Legal Action,IN,46307,2015-03-16,2015-03-17,Jpmorgan Chase,Closed with explanation,Yes,No,2015,3,0,1,0,0,1,0,1272,enterprise,298,debt,midwest
1284406,Bank Account Or Service,Checking Account,Using A Debit Or Atm Card,Not Specified,CA,92844,2015-03-16,2015-03-16,Navy Fcu,In progress,Yes,No,2015,3,0,1,0,0,0,1,62,large,3859,banking,west
1284387,Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,NC,28365,2015-03-16,2015-03-16,"Diversified Adjustment Service, Inc.",Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,15,medium,764,debt,south
1283979,Mortgage,Fha Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,OH,43204,2015-03-16,2015-03-16,Bank Of America,In progress,Yes,No,2015,3,0,1,0,0,0,1,1518,enterprise,939,mortgage,midwest
1283784,Credit Card,Not Specified,Delinquent Account,Not Specified,CA,90201,2015-03-16,2015-03-16,First National Bank Of Omaha,Closed with explanation,Yes,Yes,2015,3,0,1,0,0,0,1,25,medium,3859,credit,west
1283880,Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,FL,33179,2015-03-16,2015-03-16,Nissan Motor Acceptance Corporation,In progress,Yes,No,2015,3,0,1,0,0,0,1,34,medium,2592,loan,south
1283819,Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Terms,ND,58104,2015-03-16,2015-03-16,Transunion,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1525,enterprise,30,credit,midwest
1283806,Mortgage,Conventional Adjustable Mortgage (Arm),"Loan Modification,Collection,Foreclosure",Not Specified,CA,95132,2015-03-16,2015-03-16,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,211,enterprise,3859,mortgage,west
1283881,Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,FL,33179,2015-03-16,2015-03-16,Mercedes-Benz Financial Services,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,7,small,2592,loan,south
1283920,Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,GA,30093,2015-03-16,2015-03-16,"Pinnacle Recovery, Inc.",Closed with explanation,Yes,Yes,2015,3,0,1,0,0,0,1,10,small,1146,debt,south
1283913,Consumer Loan,Vehicle Lease,Problems When You Are Unable To Pay,Not Specified,FL,33154,2015-03-16,2015-03-16,Ally Financial Inc.,In progress,Yes,No,2015,3,0,1,0,0,0,1,165,large,2592,loan,south
1284333,Credit Reporting,Not Specified,Incorrect Information On Credit Report,Personal Information,MI,48237,2015-03-16,2015-03-16,Transunion,Closed with non-monetary relief,Yes,Yes,2015,3,0,1,0,0,0,1,1525,enterprise,694,credit,midwest
1283995,Debt Collection,Medical,Improper Contact Or Sharing Of Info,Talked To A Third Party About My Debt,WA,98115,2015-03-16,2015-03-16,Renton Collections Inc.,Closed with explanation,Yes,Yes,2015,3,0,1,0,0,0,1,4,small,509,debt,west
1284095,Credit Card,Not Specified,Billing Statement,Not Specified,CA,94709,2015-03-16,2015-03-16,Wells Fargo,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1430,enterprise,3859,credit,west
1284000,Bank Account Or Service,Checking Account,Problems Caused By My Funds Being Low,Not Specified,PA,19064,2015-03-16,2015-03-18,Santander Bank Us,In progress,Yes,No,2015,3,0,1,0,0,2,0,82,large,1055,banking,northeast
1284115,Credit Card,Not Specified,Other,Not Specified,OH,43702,2015-03-16,2015-03-16,Wells Fargo,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1430,enterprise,939,credit,midwest
1284284,Mortgage,Fha Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,NJ,8059,2015-03-16,2015-03-16,Santander Bank Us,In progress,Yes,No,2015,3,0,1,0,0,0,1,82,large,1113,mortgage,northeast
1284197,Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,PA,18102,2015-03-16,2015-03-16,"Professional Medical Management, Inc.",Closed with non-monetary relief,Yes,No,2015,3,0,1,0,0,0,1,3,small,1055,debt,northeast
1284165,Mortgage,Conventional Fixed Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,DC,20008,2015-03-16,2015-03-16,"Primelending, A Plainscapital Company",In progress,Yes,No,2015,3,0,1,0,0,0,1,4,small,168,mortgage,south
1284230,Consumer Loan,Vehicle Loan,Managing The Loan Or Lease,Not Specified,NC,27707,2015-03-16,2015-03-16,Bb&T Financial,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,90,large,764,loan,south
1285212,Consumer Loan,Vehicle Lease,Managing The Loan Or Lease,Not Specified,NH,3290,2015-03-16,2015-03-16,Nissan Motor Acceptance Corporation,In progress,Yes,No,2015,3,0,1,0,0,0,1,34,medium,111,loan,northeast
1284552,Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,FL,32086,2015-03-16,2015-03-16,Transworld Systems Inc.,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,215,enterprise,2592,debt,south
1284412,Debt Collection,"Other (Phone, Health Club, Etc.)",Communication Tactics,Threatened To Take Legal Action,NV,89148,2015-03-16,2015-03-16,"First Service Residential, Nevada, Llc",Closed with explanation,Yes,Yes,2015,3,0,1,0,0,0,1,1,small,351,debt,west
1284660,Debt Collection,"Other (Phone, Health Club, Etc.)",Improper Contact Or Sharing Of Info,Contacted Employer After Asked Not To,TX,77062,2015-03-16,2015-03-16,"Certified Recovery Systems, Inc.",Closed with non-monetary relief,Yes,No,2015,3,0,1,0,0,0,1,2,small,2380,debt,south
1284638,Debt Collection,"Other (Phone, Health Club, Etc.)",Disclosure Verification Of Debt,Right To Dispute Notice Not Received,AL,36054,2015-03-16,2015-03-16,"Enhanced Recovery Company, Llc",Closed with non-monetary relief,Yes,No,2015,3,0,1,0,0,0,1,396,enterprise,358,debt,south
1284632,Student Loan,Non-Federal Student Loan,Can'T Repay My Loan,Not Specified,MI,49504,2015-03-16,2015-03-16,Jpmorgan Chase,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1272,enterprise,694,loan,midwest
1284619,Consumer Loan,Vehicle Loan,Taking Out The Loan Or Lease,Not Specified,NC,27519,2015-03-16,2015-03-16,Toyota Motor Credit Corporation,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,32,medium,764,loan,south
1284567,Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,CA,95757,2015-03-16,2015-03-16,American Coradius International Llc,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,5,small,3859,debt,west
1285211,Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Status,OK,73189,2015-03-16,2015-03-16,Transunion,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1525,enterprise,207,credit,south
1284903,Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,KY,41048,2015-03-16,2015-03-16,Ally Financial Inc.,In progress,Yes,No,2015,3,0,1,0,0,0,1,165,large,225,loan,south
1284692,Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Resulted From Identity Theft,FL,32789,2015-03-16,2015-03-17,"The Cmi Group, Inc.",Closed with explanation,Yes,No,2015,3,0,1,0,0,1,0,34,medium,2592,debt,south
1284673,Mortgage,Conventional Fixed Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,KY,40047,2015-03-16,2015-03-16,Citibank,Closed with monetary relief,Yes,No,2015,3,0,1,0,0,0,1,1016,enterprise,225,mortgage,south
1284896,Mortgage,Conventional Adjustable Mortgage (Arm),"Loan Modification,Collection,Foreclosure",Not Specified,MD,20602,2015-03-16,2015-03-16,"Bayview Loan Servicing, Llc",In progress,Yes,No,2015,3,0,1,0,0,0,1,90,large,791,mortgage,south
1284851,Debt Collection,Mortgage,Improper Contact Or Sharing Of Info,Contacted Me After I Asked Not To,CA,93065,2015-03-16,2015-03-16,"Jh Portfolio Debt Equities, Llc",Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,17,medium,3859,debt,west
