Product,Sub-product,Issue,Sub-issue,State,ZIP code,Company,Company response,Timely response?,Consumer disputed?,year_received,month_received,dayofweek_received,quarter_received,is_weekend,is_holiday_season,processing_days,same_day_processing,company_complaint_count,company_size,state_complaint_count,product_category,region
Bank Account Or Service,Checking Account,"Account Opening, Closing, Or Management",Not Specified,FL,32713,Wells Fargo,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,1430,enterprise,2592,banking,south
Mortgage,Conventional Adjustable Mortgage (Arm),"Loan Servicing, Payments, Escrow Account",Not Specified,CA,95032,"Bayview Loan Servicing, Llc",In progress,Yes,No,2015,3,1,1,0,0,0,1,90,large,3859,mortgage,west
Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,CT,6611,"Ccs Financial Services, Inc.",Closed with explanation,Yes,Yes,2015,3,1,1,0,0,0,1,71,large,287,debt,northeast
Debt Collection,Medical,False Statements Or Representation,Attempted To Collect Wrong Amount,OR,97233,"Cmre Financial Services, Inc.",In progress,Yes,No,2015,3,1,1,0,0,0,1,28,medium,337,debt,west
Debt Collection,"Other (Phone, Health Club, Etc.)",Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,GA,30518,"Aldous & Associates, Pllc",Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,6,small,1146,debt,south
Mortgage,Conventional Fixed Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,CA,91205,"Bayview Loan Servicing, Llc",In progress,Yes,No,2015,3,1,1,0,0,1,0,90,large,3859,mortgage,west
Debt Collection,"Other (Phone, Health Club, Etc.)",False Statements Or Representation,Attempted To Collect Wrong Amount,VA,22180,"Debt Recovery Solutions, Llc",Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,19,medium,869,debt,south
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Status,WA,98502,Transunion,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,1525,enterprise,509,credit,west
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Status,WA,98502,Transunion,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,1525,enterprise,509,credit,west
Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,PA,19149,Ally Financial Inc.,In progress,Yes,No,2015,3,1,1,0,0,1,0,165,large,1055,loan,northeast
Debt Collection,Credit Card,Taking/Threatening An Illegal Action,Threatened To Sue On Too Old Debt,TN,38305,"Fenton & Mcgarvey Law Firm, P.S.C.",Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,4,small,473,debt,south
Money Transfers,Domestic (Us) Money Transfer,Other Transaction Issues,Not Specified,AL,35115,Moneygram,In progress,Yes,No,2015,3,1,1,0,0,0,1,73,large,358,other,south
Credit Reporting,Not Specified,Credit Reporting Company'S Investigation,Investigation Took Too Long,MI,48334,"Early Warning Services, Llc",Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,9,small,694,credit,midwest
Mortgage,Conventional Fixed Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,WI,53579,Bmo Harris,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,34,medium,351,mortgage,midwest
Credit Card,Not Specified,Delinquent Account,Not Specified,PA,19406,Amex,Closed with explanation,Yes,Yes,2015,3,1,1,0,0,0,1,270,enterprise,1055,credit,northeast
Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,IL,61554,Navy Fcu,In progress,Yes,No,2015,3,1,1,0,0,0,1,62,large,1003,loan,midwest
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,MD,21704,"Credit Protection Association, L.P.",Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,50,medium,791,debt,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,FL,33063,Stellar Recovery Inc.,Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,63,large,2592,debt,south
Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,IA,51526,Synergetic Communication Inc,Closed with explanation,Yes,Yes,2015,3,1,1,0,0,0,1,2,small,141,debt,midwest
Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,CA,94610,Niagara Portfolio Solutions Llc,Closed,Yes,No,2015,3,1,1,0,0,0,1,28,medium,3859,debt,west
Credit Card,Not Specified,Other,Not Specified,MI,48088,Amex,Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,270,enterprise,694,credit,midwest
Debt Collection,Not Specified,Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,FL,33462,Citibank,Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,1016,enterprise,2592,debt,south
Credit Card,Not Specified,Late Fee,Not Specified,GA,30075,Wells Fargo,Closed with monetary relief,Yes,No,2015,3,1,1,0,0,0,1,1430,enterprise,1146,credit,south
Consumer Loan,Vehicle Loan,Taking Out The Loan Or Lease,Not Specified,KY,42223,Navy Fcu,In progress,Yes,No,2015,3,1,1,0,0,0,1,62,large,225,loan,south
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Personal Information,MI,48473,Transunion,Closed with non-monetary relief,Yes,No,2015,3,1,1,0,0,0,1,1525,enterprise,694,credit,midwest
Consumer Loan,Vehicle Loan,Taking Out The Loan Or Lease,Not Specified,NY,11415,Ally Financial Inc.,In progress,Yes,No,2015,3,1,1,0,0,0,1,165,large,1846,loan,northeast
Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,FL,34473,Transworld Systems Inc.,In progress,Yes,No,2015,3,1,1,0,0,0,1,215,enterprise,2592,debt,south
Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,WI,53105,Ally Financial Inc.,In progress,Yes,No,2015,3,1,1,0,0,0,1,165,large,351,loan,midwest
Bank Account Or Service,Checking Account,"Account Opening, Closing, Or Management",Not Specified,CA,90801,Jpmorgan Chase,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,1272,enterprise,3859,banking,west
Debt Collection,Not Specified,Communication Tactics,Called Outside Of 8Am-9Pm,LA,70774,"Receivable Recovery Services, Llc",In progress,Yes,No,2015,3,1,1,0,0,0,1,7,small,277,debt,south
Debt Collection,Not Specified,Improper Contact Or Sharing Of Info,Contacted Me After I Asked Not To,NC,27205,"Online Information Services, Inc.",Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,15,medium,764,debt,south
Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Was Discharged In Bankruptcy,IL,61032,Armor Systems Corporation,Closed,Yes,Yes,2015,3,1,1,0,0,0,1,4,small,1003,debt,midwest
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Public Record,CO,80540,First Advantage Corporation,Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,8,small,483,credit,west
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,OK,73072,"Franklin Collection Service, Inc.",Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,9,small,207,debt,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,MA,2038,"Associated Credit Services, Inc.",In progress,Yes,No,2015,3,1,1,0,0,0,1,2,small,512,debt,northeast
Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,IL,62704,Miramed Revenue Group Llc,Closed,Yes,No,2015,3,1,1,0,0,0,1,2,small,1003,debt,midwest
Debt Collection,Medical,Improper Contact Or Sharing Of Info,Talked To A Third Party About My Debt,TN,37074,Transworld Systems Inc.,In progress,Yes,No,2015,3,1,1,0,0,0,1,215,enterprise,473,debt,south
Mortgage,Fha Mortgage,Credit Decision / Underwriting,Not Specified,NE,68135,Loandepot,Closed with explanation,Yes,Yes,2015,3,1,1,0,0,0,1,9,small,108,mortgage,midwest
Consumer Loan,Personal Line Of Credit,Managing The Line Of Credit,Not Specified,IA,50317,Wells Fargo,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,1430,enterprise,141,loan,midwest
Payday Loan,Not Specified,Can'T Stop Charges To Bank Account,Not Specified,KS,66606,Speedy Cash Holdings,Closed with explanation,Yes,Yes,2015,3,1,1,0,0,0,1,39,medium,176,loan,midwest
Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,MO,63040,Springleaf Finance Corporation,In progress,Yes,No,2015,3,1,1,0,0,0,1,43,medium,409,debt,midwest
Payday Loan,Not Specified,Charged Fees Or Interest I Didn'T Expect,Not Specified,TX,76205,Ace Cash Express Inc.,In progress,Yes,No,2015,3,0,1,0,0,0,1,53,large,2380,loan,south
Payday Loan,Not Specified,Can'T Contact Lender,Not Specified,OR,97070,"Cashcall, Inc.",Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,69,large,337,loan,west
Bank Account Or Service,(Cd) Certificate Of Deposit,"Account Opening, Closing, Or Management",Not Specified,NH,3753,Wells Fargo,Closed with explanation,Yes,No,2015,3,0,1,0,0,2,0,1430,enterprise,111,banking,northeast
Credit Reporting,Not Specified,Improper Use Of My Credit Report,Report Improperly Shared By Crc,OH,44121,Transunion,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1525,enterprise,939,credit,midwest
Mortgage,Conventional Adjustable Mortgage (Arm),"Loan Modification,Collection,Foreclosure",Not Specified,CO,80516,Bank Of America,In progress,Yes,No,2015,3,0,1,0,0,1,0,1518,enterprise,483,mortgage,west
Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,MD,21085,"Premium Asset Services, Llc",In progress,Yes,No,2015,3,0,1,0,0,1,0,41,medium,791,debt,south
Debt Collection,Medical,Communication Tactics,Threatened To Take Legal Action,WA,98311,"P.S.C., Inc",Closed with explanation,Yes,No,2015,3,0,1,0,0,1,0,3,small,509,debt,west
Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,CA,91355,"Acquired Assets, Ltd.",Closed with explanation,Yes,No,2015,3,0,1,0,0,1,0,2,small,3859,debt,west
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Public Record,CA,90280,Transunion,Closed with explanation,Yes,No,2015,3,0,1,0,0,1,0,1525,enterprise,3859,credit,west
Debt Collection,Not Specified,Communication Tactics,Threatened To Take Legal Action,IN,46307,Jpmorgan Chase,Closed with explanation,Yes,No,2015,3,0,1,0,0,1,0,1272,enterprise,298,debt,midwest
Bank Account Or Service,Checking Account,Using A Debit Or Atm Card,Not Specified,CA,92844,Navy Fcu,In progress,Yes,No,2015,3,0,1,0,0,0,1,62,large,3859,banking,west
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,NC,28365,"Diversified Adjustment Service, Inc.",Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,15,medium,764,debt,south
Mortgage,Fha Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,OH,43204,Bank Of America,In progress,Yes,No,2015,3,0,1,0,0,0,1,1518,enterprise,939,mortgage,midwest
Credit Card,Not Specified,Delinquent Account,Not Specified,CA,90201,First National Bank Of Omaha,Closed with explanation,Yes,Yes,2015,3,0,1,0,0,0,1,25,medium,3859,credit,west
Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,FL,33179,Nissan Motor Acceptance Corporation,In progress,Yes,No,2015,3,0,1,0,0,0,1,34,medium,2592,loan,south
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Terms,ND,58104,Transunion,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1525,enterprise,30,credit,midwest
Mortgage,Conventional Adjustable Mortgage (Arm),"Loan Modification,Collection,Foreclosure",Not Specified,CA,95132,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,211,enterprise,3859,mortgage,west
Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,FL,33179,Mercedes-Benz Financial Services,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,7,small,2592,loan,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,GA,30093,"Pinnacle Recovery, Inc.",Closed with explanation,Yes,Yes,2015,3,0,1,0,0,0,1,10,small,1146,debt,south
Consumer Loan,Vehicle Lease,Problems When You Are Unable To Pay,Not Specified,FL,33154,Ally Financial Inc.,In progress,Yes,No,2015,3,0,1,0,0,0,1,165,large,2592,loan,south
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Personal Information,MI,48237,Transunion,Closed with non-monetary relief,Yes,Yes,2015,3,0,1,0,0,0,1,1525,enterprise,694,credit,midwest
Debt Collection,Medical,Improper Contact Or Sharing Of Info,Talked To A Third Party About My Debt,WA,98115,Renton Collections Inc.,Closed with explanation,Yes,Yes,2015,3,0,1,0,0,0,1,4,small,509,debt,west
Credit Card,Not Specified,Billing Statement,Not Specified,CA,94709,Wells Fargo,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1430,enterprise,3859,credit,west
Bank Account Or Service,Checking Account,Problems Caused By My Funds Being Low,Not Specified,PA,19064,Santander Bank Us,In progress,Yes,No,2015,3,0,1,0,0,2,0,82,large,1055,banking,northeast
Credit Card,Not Specified,Other,Not Specified,OH,43702,Wells Fargo,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1430,enterprise,939,credit,midwest
Mortgage,Fha Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,NJ,8059,Santander Bank Us,In progress,Yes,No,2015,3,0,1,0,0,0,1,82,large,1113,mortgage,northeast
Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,PA,18102,"Professional Medical Management, Inc.",Closed with non-monetary relief,Yes,No,2015,3,0,1,0,0,0,1,3,small,1055,debt,northeast
Mortgage,Conventional Fixed Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,DC,20008,"Primelending, A Plainscapital Company",In progress,Yes,No,2015,3,0,1,0,0,0,1,4,small,168,mortgage,south
Consumer Loan,Vehicle Loan,Managing The Loan Or Lease,Not Specified,NC,27707,Bb&T Financial,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,90,large,764,loan,south
Consumer Loan,Vehicle Lease,Managing The Loan Or Lease,Not Specified,NH,3290,Nissan Motor Acceptance Corporation,In progress,Yes,No,2015,3,0,1,0,0,0,1,34,medium,111,loan,northeast
Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,FL,32086,Transworld Systems Inc.,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,215,enterprise,2592,debt,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Communication Tactics,Threatened To Take Legal Action,NV,89148,"First Service Residential, Nevada, Llc",Closed with explanation,Yes,Yes,2015,3,0,1,0,0,0,1,1,small,351,debt,west
Debt Collection,"Other (Phone, Health Club, Etc.)",Improper Contact Or Sharing Of Info,Contacted Employer After Asked Not To,TX,77062,"Certified Recovery Systems, Inc.",Closed with non-monetary relief,Yes,No,2015,3,0,1,0,0,0,1,2,small,2380,debt,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Disclosure Verification Of Debt,Right To Dispute Notice Not Received,AL,36054,"Enhanced Recovery Company, Llc",Closed with non-monetary relief,Yes,No,2015,3,0,1,0,0,0,1,396,enterprise,358,debt,south
Student Loan,Non-Federal Student Loan,Can'T Repay My Loan,Not Specified,MI,49504,Jpmorgan Chase,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1272,enterprise,694,loan,midwest
Consumer Loan,Vehicle Loan,Taking Out The Loan Or Lease,Not Specified,NC,27519,Toyota Motor Credit Corporation,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,32,medium,764,loan,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,CA,95757,American Coradius International Llc,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,5,small,3859,debt,west
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Status,OK,73189,Transunion,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1525,enterprise,207,credit,south
Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,KY,41048,Ally Financial Inc.,In progress,Yes,No,2015,3,0,1,0,0,0,1,165,large,225,loan,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Resulted From Identity Theft,FL,32789,"The Cmi Group, Inc.",Closed with explanation,Yes,No,2015,3,0,1,0,0,1,0,34,medium,2592,debt,south
Mortgage,Conventional Fixed Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,KY,40047,Citibank,Closed with monetary relief,Yes,No,2015,3,0,1,0,0,0,1,1016,enterprise,225,mortgage,south
Mortgage,Conventional Adjustable Mortgage (Arm),"Loan Modification,Collection,Foreclosure",Not Specified,MD,20602,"Bayview Loan Servicing, Llc",In progress,Yes,No,2015,3,0,1,0,0,0,1,90,large,791,mortgage,south
Debt Collection,Mortgage,Improper Contact Or Sharing Of Info,Contacted Me After I Asked Not To,CA,93065,"Jh Portfolio Debt Equities, Llc",Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,17,medium,3859,debt,west
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Terms,GA,30338,Transunion,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1525,enterprise,1146,credit,south
Bank Account Or Service,Checking Account,"Making/Receiving Payments, Sending Money",Not Specified,MD,20901,Jpmorgan Chase,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1272,enterprise,791,banking,south
Payday Loan,Not Specified,Charged Bank Acct Wrong Day Or Amt,Not Specified,NJ,8021,Ace Cash Express Inc.,In progress,Yes,No,2015,3,0,1,0,0,0,1,53,large,1113,loan,northeast
Mortgage,Conventional Fixed Mortgage,Credit Decision / Underwriting,Not Specified,WA,99403,Arbor Residential Mortgage Llc,In progress,Yes,No,2015,3,0,1,0,0,0,1,19,medium,509,mortgage,west
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Information Is Not Mine,FL,33063,Transunion,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1525,enterprise,2592,credit,south
Consumer Loan,Vehicle Lease,Managing The Loan Or Lease,Not Specified,NY,11725,Nissan Motor Acceptance Corporation,In progress,Yes,No,2015,3,0,1,0,0,0,1,34,medium,1846,loan,northeast
Consumer Loan,Installment Loan,Managing The Loan Or Lease,Not Specified,WI,54403,"Cashcall, Inc.",Closed with explanation,Yes,No,2015,3,0,1,0,0,1,0,69,large,351,loan,midwest
Mortgage,Conventional Fixed Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,TX,77502,Nationstar Mortgage,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,749,enterprise,2380,mortgage,south
Payday Loan,Not Specified,Received A Loan I Didn'T Apply For,Not Specified,MO,63012,Speedy Cash Holdings,Closed,Yes,No,2015,3,0,1,0,0,0,1,39,medium,409,loan,midwest
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,NY,13440,"Mercantile Adjustment Bureau, Llc",Closed with explanation,Yes,No,2015,3,0,1,0,0,1,0,16,medium,1846,debt,northeast
Consumer Loan,Vehicle Loan,Managing The Loan Or Lease,Not Specified,TX,77373,Ally Financial Inc.,In progress,Yes,No,2015,3,0,1,0,0,0,1,165,large,2380,loan,south
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Status,TX,75169,"On-Site Manager, Inc.",Closed with non-monetary relief,Yes,No,2015,3,0,1,0,0,0,1,2,small,2380,credit,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,IL,60620,"Contract Callers, Inc.",Closed,Yes,No,2015,3,0,1,0,0,0,1,9,small,1003,debt,midwest
Mortgage,Conventional Adjustable Mortgage (Arm),"Loan Servicing, Payments, Escrow Account",Not Specified,CA,95376,Ocwen,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,934,enterprise,3859,mortgage,west
Debt Collection,Not Specified,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,MI,48188,Transworld Systems Inc.,In progress,Yes,No,2015,3,0,1,0,0,0,1,215,enterprise,694,debt,midwest
Credit Reporting,Not Specified,Credit Reporting Company'S Investigation,Problem With Statement Of Dispute,TX,77362,Transunion,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1525,enterprise,2380,credit,south
Bank Account Or Service,Savings Account,"Account Opening, Closing, Or Management",Not Specified,NC,28208,"Fnis (Fidelity National Information Services, Inc.)",In progress,Yes,No,2015,3,0,1,0,0,0,1,57,large,764,banking,south
Student Loan,Non-Federal Student Loan,Can'T Repay My Loan,Not Specified,TX,78251,Wells Fargo,Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,1430,enterprise,2380,loan,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,PA,17202,"Convergent Resources, Inc.",Closed with explanation,Yes,No,2015,3,0,1,0,0,0,1,113,large,1055,debt,northeast
Money Transfers,Domestic (Us) Money Transfer,Other Service Issues,Not Specified,TN,38141,Moneygram,In progress,Yes,No,2015,3,0,1,0,0,0,1,73,large,473,other,south
